match_id,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,set_diff,game_diff,speed_mph,rally_count,p1_ace,p2_ace,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_winner,p2_winner,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_recent_win_rate,recent_avg_rally,p1_recent_ufe_rate,p2_recent_ufe_rate,p1_recent_net_success,p2_recent_net_success,serve_width,serve_depth,return_depth,server,serve_no,point_victor,p1_won,p1_win_prob,momentum_score
0,1,3,21,0,0,1,1,0,0,114.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,2.6,0.0,0.1,0.0,0.999999000001,2,1,0,1,1,0,0,0.48958808183670044,0.48958808183670044
0,1,3,22,0,0,1,1,0,0,127.0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5,3.1,0.0,0.2,0.0,0.999999000001,0,1,1,1,1,1,1,0.4889697730541229,0.4892789274454117
0,1,3,23,0,0,1,1,0,0,103.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,2.8,0.0,0.1,0.0,0.999999000001,1,1,0,1,2,1,1,0.4879184365272522,0.48882543047269184
0,1,4,24,0,0,2,1,0,1,107.0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,2.8,0.1,0.1,0.0,0.999999000001,1,1,1,2,2,0,0,0.48698049783706665,0.48836419731378555
0,1,4,25,0,0,2,1,0,1,111.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,3.0,0.1,0.1,0.0,0.999999000001,2,1,1,2,1,0,0,0.48462799191474915,0.48761695623397827
0,1,4,26,0,0,2,1,0,1,125.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.6,2.9,0.1,0.1,0.0,0.999999000001,3,1,-1,2,1,0,0,0.48409491777420044,0.4870299498240153
0,1,4,27,0,0,2,1,0,1,126.0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.6,3.1,0.1,0.1,0.0,0.999999000001,4,1,-1,2,1,0,0,0.4839349687099457,0.4865878096648625
0,1,5,28,0,0,2,2,0,0,116.0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5,3.3,0.1,0.1,0.0,0.0,4,0,1,1,1,1,1,0.4831188917160034,0.4861541949212551
0,1,5,29,0,0,2,2,0,0,129.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,3.3,0.1,0.1,0.0,0.0,3,1,1,1,1,1,1,0.4832807183265686,0.48536577448248863
0,1,5,30,0,0,2,2,0,0,110.0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1.5,3.1,0.1,0.1,0.999999000001,0.0,1,1,1,1,1,1,1,0.484098881483078,0.484756913036108
0,1,5,31,0,0,2,2,0,0,113.0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,3.1,0.2,0.1,0.999999000001,0.0,1,1,1,1,2,0,0,0.48332712054252625,0.4841829985380173
0,1,5,32,0,0,2,2,0,0,104.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,2.4,0.2,0.0,0.999999000001,0.0,1,1,0,1,2,0,0,0.48226699233055115,0.48359381034970284
0,1,5,33,0,0,2,2,0,0,111.0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,2.5,0.3,0.0,0.999999000001,0.0,0,0,0,1,1,0,0,0.4806671440601349,0.48309870436787605
0,1,5,34,0,0,2,2,0,0,97.0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1.6,2.7,0.2,0.0,0.99999950000025,0.0,3,0,0,1,2,1,1,0.48195451498031616,0.4828311540186405
0,1,5,35,0,0,2,2,0,0,114.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1.5,2.5,0.2,0.0,0.9999996666667778,0.0,3,1,0,1,1,1,1,0.479442834854126,0.48226963728666306
0,1,6,36,0,0,3,2,0,1,110.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,2.5,0.2,0.0,0.9999996666667778,0.0,4,0,1,2,1,0,0,0.48038753867149353,0.4819282181560993
0,1,6,37,0,0,3,2,0,1,90.0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.4,2.8,0.2,0.1,0.9999996666667778,0.0,2,1,1,2,2,1,1,0.47712838649749756,0.48115917667746544
0,1,6,38,0,0,3,2,0,1,125.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,2.4,0.2,0.1,0.9999996666667778,0.0,3,1,0,2,1,0,0,0.4761173129081726,0.48016148060560226
0,1,6,39,0,0,3,2,0,1,127.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,2.4,0.2,0.1,0.9999996666667778,0.0,0,1,1,2,1,0,0,0.47742024064064026,0.4794231206178665
